term,description,category,subcategory,lang
Жеті жарғы,Тәуке хан (1678–1718) тұсында қ абылданған қазақ халқының дәстүрлі әдеп-ғұрып заңдарының жинағы.,Бизнес орталықтары,Нотариус,kk
Алтын орда,30 қанатқа дейін үлкен келетін ханның мәжіліс ордасы. Қазақтың дәстүрлі тарихы мен мәдениетіне негізделген атау.,Бизнес орталықтары,Сауда орталықтары,kk
Мұрагер,"Ата-анасының, туысының артында қалған дүниесіне ие болушы, мирасқор.",Бизнес орталықтары,Сауда орталықтары,kk
Дала керуені,Көшпелі мәдениет пен жаңа мүмкіндіктерді білдіретін сауда орталығы.,Бизнес орталықтары,Сауда орталықтары,kk
Үшқоңыр,Қазақ мәдениеті мен кеңістігін бейнелейтін сауда орны.,Бизнес орталықтары,Сауда орталықтары,kk
Бәйтерек,Ежелгі таным бойынша тылсым қасиетке ие алып ағаш.,Бизнес орталықтары,Сауда орталықтары,kk
Таңшолпан,"Таң жұлдызы, жарық жұлдыз.",Бизнес орталықтары,Сауда орталықтары,kk
Құндыз-ай,Сән мен байлықты символиздейтін сауда орталығы.,Бизнес орталықтары,Сауда орталықтары,kk
Еркем-ай,Әдемілік пен сәнділікті білдіретін орын.,Бизнес орталықтары,Сауда орталықтары,kk
Кең дала,Жазық дала.,Бизнес орталықтары,Сауда орталықтары,kk
Шалқар,"Кең-байтақ, шексіз; шетсіз, үлкен.",Бизнес орталықтары,Сауда орталықтары,kk
Арғымақ,"Қазақтың жүйрік тұлпары, еркіндік пен асқақ рухтың символы.",Бизнес орталықтары,Сауда орталықтары,kk
Ұлы жібек жолы,Еуразияның сауда керуендері жолдарының жалпы атауы. Бұл атау Ұлы дала өркениетінің сауда дәстүрлерін білдіреді.,Бизнес орталықтары,Сауда орталықтары,kk
